Spring result ,p,d,q,P,D,Q,m,MAE,MSE,R2
Count,111,111,111,111,111,111,111,111,110,111
Mean,1,0.10811,0.48649,0.85586,1,0.76577,7,3.42659,81.59113,-0.08681
std,0.94388,0.31193,0.68576,0.91301,0,0.64604,0,5.61321,436.17843,0.9183
min,0,0,0,0,1,0,7,0.06035,0.00765,-5.95866
25%,0,0,0,0,1,0,7,0.93989,2.08014,-0.37594
50%,1,0,0,1,1,1,7,1.89117,7.54976,0.0032
75%,1.5,0,1,2,1,1,7,3.68376,29.92611,0.46311
max,5,1,3,2,1,2,7,48.41732,4436.59296,0.988
Fall result,p,d,q,P,D,Q,m,MAE,MSE,R2
Count,96,96,96,96,96,96,96,96,96,96
Mean,0.82292,0.19792,0.55208,0.78125,1,0.65625,7,2.99606,51.89534,0.19027
std,1.01561,0.40052,0.63028,0.93136,0,0.53955,0,4.54428,189.53453,0.69819
min,0,0,0,0,1,0,7,0.01615,0.00064,-3.34095
25%,0,0,0,0,1,0,7,0.82408,1.62035,-0.11687
50%,1,0,0,0,1,1,7,1.51485,5.15849,0.31105
75%,1,0,1,2,1,1,7,3.16698,19.64103,0.69015
max,5,1,2,2,1,2,7,31.76844,1654.0073,0.9897
Winter result,p,d,q,P,D,Q,m,MAE,MSE,R2
Count,101,101,101,101,101,101,101,101,101,101
Mean,0.82178,0.0396,0.44554,1.0297,1,0.66337,7,5.20955,146.94403,0.16295
std,0.75361,0.196,0.69965,0.95347,0,0.65234,0,7.37733,560.58032,0.69701
min,0,0,0,0,1,0,7,0.01362,0.00047,-3.41924
25%,0,0,0,0,1,0,7,0.94335,2.27843,-0.25551
50%,1,0,0,1,1,1,7,3.22796,20.05169,0.29265
75%,1,0,1,2,1,1,7,5.40245,57.90617,0.64069
max,4,1,3,2,1,2,7,54.33938,5065.66251,0.98667
,,,,,,,,,,
,96,96,96,96,96,96,96,96,96,96
,0.82292,0.19792,0.55208,0.78125,1,0.65625,7,2.99606,51.89534,0.19027
,1.01561,0.40052,0.63028,0.93136,0,0.53955,0,4.54428,189.53453,0.69819
,0,0,0,0,1,0,7,0.01615,0.00064,-3.34095
,0,0,0,0,1,0,7,0.82408,1.62035,-0.11687
,1,0,0,0,1,1,7,1.51485,5.15849,0.31105
,1,0,1,2,1,1,7,3.16698,19.64103,0.69015
,5,1,2,2,1,2,7,31.76844,1654.0073,0.9897
